,scores,isrc,artist,title,seed_playlist_uri
26,0.9788965665498521,USWD10423005,Judy Kuhn,"Colors of the Wind - From ""Pocahontas"" / Soundtrack Version",malaysia_top_test
27,0.9736638088484888,USWD10834891,High School Musical Cast,Can I Have This Dance,malaysia_top_test
28,0.9723990712905166,USWD10110146,Phil Collins,You'll Be In My Heart,malaysia_top_test
29,0.9722773792405065,USWD11677863,Rachel House,I Am Moana (Song of the Ancestors),malaysia_top_test
30,0.9700829572370855,USWD10732098,Zac Efron,Gotta Go My Own Way,malaysia_top_test
31,0.9687934421074025,USWD11677859,Opetaia Foa'i,We Know The Way,malaysia_top_test
32,0.9623858010237677,USWD11677854,Christopher Jackson,Where You Are,malaysia_top_test
33,0.961608268437119,USWD10732095,Troy And Gabriella,You Are The Music In Me,malaysia_top_test
34,0.959958370335807,USWD10731999,Zac Efron,"What Time Is It - From ""High School Musical 2""/Soundtrack Version",malaysia_top_test
35,0.9571419711521432,USWD11366380,Maia Wilson,Fixer Upper,malaysia_top_test
36,0.9557423809682742,USWD11366378,Josh Gad,In Summer,malaysia_top_test
37,0.9552903775310244,USWD10628832,Rascal Flatts,Life is a Highway,malaysia_top_test
38,0.9538552376396123,USWD10527737,High School Musical Cast,What I've Been Looking For,malaysia_top_test
39,0.9519191323489271,USWD10423200,Brad Kane,One Jump Ahead,malaysia_top_test
40,0.9518389852873802,USWD11778847,Emma Watson,Belle,malaysia_top_test
41,0.9503579590760569,USWD10527736,Troy,Get'cha Head In The Game,malaysia_top_test
42,0.9477266500596296,USWD10527741,High School Musical Cast,Bop To The Top,malaysia_top_test
43,0.9460381676345393,USWD10732097,CHAD,"I Don't Dance - From ""High School Musical 2""/Soundtrack Version",malaysia_top_test
44,0.9449553347724199,USWD10732093,Sharpay Evans,"Fabulous - From ""High School Musical 2""/Soundtrack Version",malaysia_top_test
45,0.943904605056011,USWD10732974,Amy Adams,That's How You Know - 『魔法にかけられて』より,malaysia_top_test
46,0.9436921926843529,USWD10834896,High School Musical Cast,We're All In This Together (Graduation Mix) - Original Version,malaysia_top_test
47,0.9415260682541576,USWD10527739,High School Musical Cast,Stick to the Status Quo - 『ハイスクール・ミュージカル』より,malaysia_top_test
48,0.9372011261578984,USWD10834897,High School Musical Cast,High School Musical,malaysia_top_test
49,0.9371610108497384,USWD10423270,Paige O'Hara,Belle,malaysia_top_test
50,0.9369967233493102,USWD10321113,Robby Benson,Something There,malaysia_top_test
51,0.9366582700241077,USWD10423475,Lillias White,The Gospel Truth I / Main Titles - Hercules,malaysia_top_test
52,0.9364267609463608,USWD10834644,High School Musical Cast,Now Or Never,malaysia_top_test
53,0.9354044835776968,USWD10732100,Troy,Everyday,malaysia_top_test
54,0.9349469372763398,USWD10423003,Glenn Close,You'll Be In My Heart,malaysia_top_test
55,0.933694920753925,USWD10423197,Bruce Adler,Arabian Nights,malaysia_top_test
56,0.9336115723408869,USWD10732096,Sharpay Evans,HUMUHUMUNUKUNUKUAPUA'A - 『ハイスクール・ミュージカル2』より,malaysia_top_test
57,0.9292505638324439,USWD11366344,Demi Lovato,"Let It Go - From ""Frozen / Single Version",malaysia_top_test
58,0.927475386941,USWD10527738,Troy,"What I've Been Looking For (Reprise) - From ""High School Musical""/Soundtrack Version",malaysia_top_test
59,0.9273839180395748,USWD11575402,Shakira,Try Everything - 『ズートピア』より,malaysia_top_test
60,0.9227685082718579,USWD10110151,Phil Collins,Strangers Like Me,malaysia_top_test
61,0.9220289138530626,USWD11570416,Randy Newman,You've Got a Friend in Me - Remastered 2015,malaysia_top_test
62,0.919619816780238,USWD10834893,Zac Efron,The Boys Are Back,malaysia_top_test
63,0.9195461527533968,USWD10834899,High School Musical Cast,Walk Away - 『ハイスクール・ミュージカル: ザ・ムービー』より,malaysia_top_test
64,0.9190064838395875,USWD11055017,Grace Potter,Something That I Want,malaysia_top_test
65,0.9183796169660939,USWD11778705,Ewan McGregor,Be Our Guest,malaysia_top_test
66,0.9178227085810952,USWD11366379,Kristen Bell,For the First Time in Forever (Reprise),malaysia_top_test
67,0.9177920648367754,USWD10732101,High School Musical Cast,"All For One - From ""High School Musical 2""/Soundtrack Version",malaysia_top_test
68,0.9156559434513578,USWD10527744,High School Musical Cast,I Can't Take My Eyes Off Of You,malaysia_top_test
69,0.9144880804926351,USWD10732094,High School Musical Cast,Work This Out,malaysia_top_test
70,0.9125583752299552,USWD10834840,High School Musical Cast,A Night To Remember,malaysia_top_test
71,0.9122797295775497,USWD10220401,Jesse Corti,Gaston,malaysia_top_test
72,0.910762196966233,USWD11778850,Josh Gad,Gaston,malaysia_top_test
73,0.9088140016833031,USWD10527740,Gabriella Montez,When There Was Me And You,malaysia_top_test
