,isrc,track_artist,track_title,country_name,region,saves,saves_perc,skips,skips_perc,streams,users,recommendation_scores,current_playlist_position,major_label,label_studio,content_provider_name
4565,USWD11569822,Lily James,A Dream Is a Wish Your Heart Makes,,Philippines,30270.0,0.02147615770466913,847120.0,0.6010202416511171,1409470,56215,0.778536155,16.0,UMG,Walt Disney Records,umgglobal
4567,USWD10423270,Paige O'Hara,Belle,,Philippines,56721.0,0.04026166783431963,750867.0,0.5329799852215595,1408809,34035,0.7739468361,,UMG,Walt Disney Records,Universal
4568,USWD11054841,Mandy Moore,"I've Got a Dream - From ""Tangled""/Soundtrack Version",,Philippines,94890.0,0.06735605650838809,1452492.0,1.0310268018756628,1408782,35214,0.7727057684,35.0,UMG,Walt Disney Records,UMI
4569,USWD11677863,Rachel House,I Am Moana (Song of the Ancestors),,Philippines,67136.0,0.04771272301377028,894860.0,0.6359659097369887,1407088,57184,0.7717336688,,UMG,Walt Disney Records,Universal
4571,USWD10833742,Demi Lovato,"This Is Me - From ""Camp Rock""",,Philippines,122220.0,0.08688086189909536,1588176.0,1.1289649789515437,1406754,41760,0.7683643404,,UMG,Walt Disney Records,umgglobal
4572,USWD11570628,Kuana Torres Kahele,Lava,,Philippines,106815.0,0.07597543236966672,1366860.0,0.9722209379656664,1405915,49095,0.766803669,,Other,Now! Music,nowthatswhaticallmusicllp
4573,USWD10732974,Amy Adams,That's How You Know - 『魔法にかけられて』より,,Philippines,34450.0,0.024510414258017466,639070.0,0.45468419273936783,1405525,48970,0.7665310671,,UMG,Walt Disney Records,UMI
4574,USWD11778855,Dan Stevens,Evermore,,Philippines,70080.0,0.04986849745534037,1207232.0,0.8590588744293017,1405296,189728,0.7662551725,,UMG,Walt Disney Records,umgglobal
4575,USWD10321113,Robby Benson,Something There,,Philippines,63362.0,0.045118189404965696,1004935.0,0.715584225082529,1404356,17580,0.7638595074,,UMG,Walt Disney Records,UMI
4576,USWD10322458,Phil Collins,On My Way,,Philippines,63362.0,0.045118189404965696,1004935.0,0.715584225082529,1404356,17580,0.7625449662,,UMG,EMI Marketing,umgglobal
4577,USWD10527735,Troy,Start of Something New,,Philippines,63362.0,0.045118189404965696,1004935.0,0.715584225082529,1404356,17580,0.7612991779,,UMG,Walt Disney Records,umgglobal
4578,USWD11366379,Kristen Bell,For the First Time in Forever (Reprise),,Philippines,263225.0,0.1874922093416671,1035830.0,0.737810068201649,1403925,33485,0.7599265261,21.0,UMG,Walt Disney Records,UMI
4581,USWD10220442,Judy Kuhn,"Just Around The Riverbend - From ""Pocahantas""",,Philippines,50856.0,0.03629413838531906,1174511.0,0.8382071883175922,1401218,137527,0.756625423,41.0,UMG,EMI Gold,umgglobal
4582,USWD11366380,Maia Wilson,Fixer Upper,,Philippines,85414.0,0.06097707238091431,639184.0,0.45631359066104304,1400756,103432,0.7565708559,,UMG,Walt Disney Records,UMI
4583,USWD11783647,Gael Garcia Bernal,Remember Me (Lullaby),,Philippines,176730.0,0.1262077682798809,635850.0,0.4540780255800501,1400310,205440,0.7538777335,,UMG,Walt Disney Records,UMI
4584,USWD10936993,Jenifer Lewis featuring the Pinnacle Gospel Choir,Dig a Little Deeper,,Philippines,43280.0,0.030908324823069835,458320.0,0.32730830482692624,1400270,69550,0.7538296207,,UMG,Walt Disney Records,UMI
4585,USWD11677861,Jemaine Clement,Shiny,,Philippines,108432.0,0.07743660499275853,487572.0,0.34819905903727,1400268,79212,0.7535365016,,UMG,Walt Disney Records,umgglobal
4586,USWD11778851,Adam Mitchell,Days In The Sun,,Philippines,150744.0,0.10769890260631002,1936392.0,1.3834533607681756,1399680,123296,0.7531805791,,UMG,Walt Disney Records,umgglobal
4587,USWD10423200,Brad Kane,One Jump Ahead,,Philippines,40760.0,0.029124271178689837,961760.0,0.6872070424145421,1399520,166680,0.7530252087,26.0,UMG,EMI TV,umgglobal
4588,USWD11575402,Shakira,Try Everything - 『ズートピア』より,,Philippines,46080.0,0.032932680968941225,722310.0,0.5162240622976548,1399218,42402,0.7522328721,42.0,UMG,Walt Disney Records,umgglobal
4590,USWD10423008,Bruce Reitherman,The Bare Necessities,,Philippines,101673.0,0.07268083354242665,1318542.0,0.942558315587209,1398897,58923,0.7505056612,,UMG,Walt Disney Records,umgglobal
4591,USWD11778853,Emma Watson,How Does A Moment Last Forever (Montmartre),,Philippines,104070.0,0.07439496456106114,1250355.0,0.8938225801263149,1398885,71595,0.7482672131,,UMG,Walt Disney Records,umgglobal
4592,USWD10423475,Lillias White,The Gospel Truth I / Main Titles - Hercules,,Philippines,74054.0,0.052955288985823336,848693.0,0.6068920392584515,1398425,308660,0.7464237707,24.0,UMG,Walt Disney Records,umgglobal
4593,USWD10423197,Bruce Adler,Arabian Nights,,Philippines,40586.0,0.029025120395678772,457756.0,0.3273646826946319,1398306,95108,0.7461975291,4.0,UMG,Walt Disney Records,UMI
4594,USWD11778850,Josh Gad,Gaston,,Philippines,94050.0,0.06729200652528548,1193205.0,0.8537284279213532,1397640,116925,0.7454353686,,UMG,Walt Disney Records,UMI
4595,USWD11677854,Christopher Jackson,Where You Are,,Philippines,101115.0,0.07239694273900514,1473010.0,1.0546548051622604,1396675,50680,0.7452491523,,UMG,Walt Disney Records,UMI
4598,USWD11778852,Emma Watson,Something There,,Philippines,102288.0,0.07332457349554088,1072461.0,0.7687875940051742,1395003,59664,0.7412488703,,UMG,Walt Disney Records,UMI
4600,USWD11677600,Jordan Fisher,You're Welcome - Jordan Fisher/Lin-Manuel Miranda Version,,Philippines,67944.0,0.04871270944013077,1041390.0,0.746628524724152,1394790,683430,0.7391160321,,UMG,Walt Disney Records,UMI
4603,USWD11677864,Auli'i Cravalho,Know Who You Are,,Philippines,132405.0,0.09497831864596447,1847092.0,1.3249778523802862,1394055,153608,0.7384267855,,UMG,Walt Disney Records,UMI
4604,USWD10210259,Mark Keali'i Ho'omalu,He Mele No Lilo - 『リロ・アンド・スティッチ』より,,Philippines,65484.0,0.046975879345075154,888558.0,0.6374197269424788,1393992,25260,0.7341521222,29.0,UMG,EMI Gold,umgglobal
4608,USWD11055017,Grace Potter,Something That I Want,,Philippines,96129.0,0.0690638953649188,1006258.0,0.7229462204133243,1391885,190036,0.7324500013,,UMG,Walt Disney Records,umgglobal
4609,USWD10936984,Ne-Yo,"Never Knew I Needed - From ""The Princess and the Frog""/Soundtrack Version",,Philippines,70497.0,0.05066372301502944,1134385.0,0.8152427398670039,1391469,7965,0.7312311186,27.0,UMG,Walt Disney Records,UMI
4610,USWD10732100,Troy,Everyday,,Philippines,68796.0,0.04958427510494026,894208.0,0.6444946722634808,1387456,195384,0.73076818,,UMG,Walt Disney Records,umgglobal
4612,USWD11783639,Anthony Gonzalez,Un Poco Loco,,Philippines,40216.0,0.02900984499613356,1078360.0,0.7778758814907147,1386288,45496,0.7256500002,,UMG,Walt Disney Records,UMI
4613,USWD10110094,Bill Shirley,Once Upon A Dream - From ''Walt Disney's Sleeping Beauty'',,Philippines,82790.0,0.05974140680585883,1172354.0,0.8459726686130671,1385806,88536,0.7249964297,,UMG,Walt Disney Records,UMI
