,scores,isrc,artist,title,seed_playlist_uri
68,0.8595556122471965,USWD10423390,Harvey Fierstein,"A Girl Worth Fighting For - From ""Mulan""/Soundtrack",Spain
69,0.8592594053854012,USWD11778705,Ewan McGregor,Be Our Guest,Spain
70,0.8577377607111166,USWD11783811,Gael Garcia Bernal,Recuérdame (Arrullo),Spain
71,0.8556125093989915,USWD10936987,Anika Noni Rose,"Almost There - From ""The Princess and the Frog"" / Soundtrack Version",Spain
72,0.8525935256719633,USWD10936993,Jenifer Lewis featuring the Pinnacle Gospel Choir,Dig a Little Deeper,Spain
73,0.8500627853530335,USWD11783813,Luis Ángel Gómez Jaramillo,Recuérdame (Reencuentro),Spain
74,0.8491763561379843,USUM71510147,Ne-Yo,"Friend Like Me - From ""Aladdin""",Spain
75,0.848471305650438,USWD10527740,Gabriella Montez,When There Was Me And You,Spain
76,0.8471554243421678,USWD11677918,Marcy Harriell,More - Reprise - Outtake,Spain
77,0.8461059854137646,USWD10732099,Troy,Bet On It,Spain
78,0.8450751069138179,USWD11778854,Emma Thompson,Beauty and the Beast,Spain
79,0.8439317691926627,USWD10423277,Peabo Bryson,Beauty and the Beast - デュエット・バージョン / 『美女と野獣』より,Spain
80,0.8430046136005519,USWD11366363,Cast - Frozen,Frozen Heart,Spain
81,0.8421199497256802,USQ4E1602403,Tori Kelly,"Don't You Worry 'Bout A Thing - From ""Sing"" Original Motion Picture Soundtrack",Spain
82,0.8419092301538259,USUM71510155,Tori Kelly,"Colors Of The Wind - From ""Pocahontas""",Spain
83,0.8393773721081317,USWD10220705,Phil Collins,You Will Be In My Heart,Spain
84,0.8369482600990521,USIR19902220,Smash Mouth,All Star,Spain
85,0.8358136006851946,USWD10834896,High School Musical Cast,We're All In This Together (Graduation Mix) - Original Version,Spain
86,0.8352863857090636,USWD10322458,Phil Collins,On My Way,Spain
87,0.8348223217436465,USWD10423200,Brad Kane,One Jump Ahead,Spain
88,0.8346119281983114,USQ4E1602400,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",Spain
89,0.8322462536798981,USWD11366377,Jonathan Groff,"Reindeer(s) Are Better Than People - From ""Frozen"" / Soundtrack Version",Spain
90,0.831880632770156,USWD11783814,Luis Ángel Gómez Jaramillo,El Latido de mi Corazón,Spain
91,0.8309158507739,USWD11783809,Luis Ángel Gómez Jaramillo,Un Poco Loco,Spain
92,0.8295803069763674,USWD10527739,High School Musical Cast,Stick to the Status Quo - 『ハイスクール・ミュージカル』より,Spain
93,0.828951803130825,USWD10834892,High School Musical Cast,Just Wanna Be With You,Spain
94,0.8284577485772354,USWD10423270,Paige O'Hara,Belle,Spain
95,0.8259511014932841,USWD11055017,Grace Potter,Something That I Want,Spain
