,PlaylistUri,Name,Isrc,Artist,TrackName,scores,isrc_x,artist,title,seed_playlist_uri,isrc_y,track_artist,track_title,days_on_playlist,playlist_uri
0,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD11467500,Bella Yao,Let It Go,,,,,,,,,,
1,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD10423000,"Lea Salonga,Brad Kane",A Whole New World,1.0347865998108021,USWD10423000,Lea Salonga,A Whole New World,malaysia_top_test,,,,,
2,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD11677987,Ayda Jebat,Bawaku Berkelana,,,,,,,,,,
3,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD11779184,"Tien Fu Chen,Jing Bo Ran",Beauty and the Beast,,,,,,,,,,
4,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD10321347,"Nathan Lane,Ernie Sabella,Jason Weaver,Joseph Williams",Hakuna Matata,1.0957437106888346,USWD10321347,Nathan Lane,Hakuna Matata,malaysia_top_test,,,,,
5,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD11778858,Céline Dion,How Does A Moment Last Forever,0.816254963868122,USWD11778858,Céline Dion,How Does A Moment Last Forever,malaysia_top_test,,,,,
6,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD11678062,Jike Junyi,Hai Yang Zhi Xin - Ji Ke Jun Yi Version/Chinese Mandarin Version,,,,,,,,,,
7,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USSM11801721,"DJ Khaled,Demi Lovato","I Believe - As featured in the Walt Disney Pictures' ""A WRINKLE IN TIME""",,,,,,,,,,
8,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD10321113,"Paige O'Hara,Robby Benson,Jerry Orbach,Angela Lansbury,David Ogden Stiers","Something There - From ""Beauty and the Beast""/Soundtrack Version",0.9369967233493102,USWD10321113,Robby Benson,Something There,malaysia_top_test,,,,,
9,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD11054836,Mandy Moore,"When Will My Life Begin - From ""Tangled"" / Soundtrack Version",1.0138710941062947,USWD11054836,Mandy Moore,"When Will My Life Begin - From ""Tangled"" / Soundtrack Version",malaysia_top_test,,,,,
10,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD10220440,"Carmen Twillie,Lebo M.","Circle of Life (From ""The Lion King"") - From ""The Lion King""/Soundtrack",1.037698756619921,USWD10220440,Carmen Twillie,Circle of Life,malaysia_top_test,,,,,
11,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD11779894,Dan Auerbach,Run That Race,,,,,,,,,,
12,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD10110087,"Susan Egan,The Muses","I Won't Say (I'm In Love) - From ""Hercules""",1.0473877013643105,USWD10110087,Susan Egan,"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",malaysia_top_test,,,,,
13,spotify:user:128899670:playlist:7Hgc75ZscVfZRKHwizaScC,Shiok Disney Hits,USWD11778855,Dan Stevens,Evermore,0.8640983277555928,USWD11778855,Dan Stevens,Evermore,malaysia_top_test,,,,,
