,isrc,score,artist,title,major_label,label_studio,original_release_date,genre_name,parent_genre_name,seed_playlist_uri
132,USIR19801989,1.0147316911419433,Marilyn Manson,I Don't Like the Drugs (But the Drugs Like Me),Interscope,UMG,Rock,Rock,1998-09-14,spotify:playlist:7ee2i27Axzde26FoXgNDZF
136,USSM19603682,1.010888092331176,The Offspring,Gone Away,Round Hill Music (Offspring),UMG,Rock,Rock,1997-02-04,spotify:playlist:7ee2i27Axzde26FoXgNDZF
140,USSM19804199,1.0084946178040661,The Offspring,Pretty Fly (For A White Guy),Universal Music S.A.,UMG,Pop,Pop,2018-11-30,spotify:playlist:7ee2i27Axzde26FoXgNDZF
143,USSM19000330,1.0064804433806809,Slayer,Seasons In the Abyss,American Recordings Catalog P&D,UMG,Heavy Metal,Rock,1990-10-09,spotify:playlist:7ee2i27Axzde26FoXgNDZF
145,USCA20400622,1.0049578212244017,Megadeth,Sweating Bullets,Capitol Records,UMG,Heavy Metal,Rock,2008-09-30,spotify:playlist:7ee2i27Axzde26FoXgNDZF
148,USAM19800091,1.0042282045520612,Monster Magnet,Powertrip,A&M,UMG,Rock,Rock,1998-06-16,spotify:playlist:7ee2i27Axzde26FoXgNDZF
149,USDW10021712,1.0041840204455352,Papa Roach,Last Resort,Universal Music LLC,UMG,Rock,Rock,2007-08-22,spotify:playlist:7ee2i27Axzde26FoXgNDZF
150,GBF089190019,1.0039494972082417,Metallica,Through the Never,Vertigo,UMG,Rock,Rock,1991-08-12,spotify:playlist:7ee2i27Axzde26FoXgNDZF
152,USEM30200425,1.0034499173079898,Queensrÿche,Eyes of a Stranger,EMI/EMI Records (USA),UMG,Rock,Rock,1988-05-03,spotify:playlist:7ee2i27Axzde26FoXgNDZF
156,USGF19942503,1.0030854834405767,Nirvana,Come As You Are,Geffen Records,UMG,Rock,Rock,1991-09-24,spotify:playlist:7ee2i27Axzde26FoXgNDZF
157,USIR29400443,1.0026609772162884,The Cranberries,Zombie,Universal Music Group International,UMG,Rock,Rock,2010-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
158,USIR19902309,1.0024332446623427,Limp Bizkit,Break Stuff,Interscope,UMG,Rock,Rock,1999-06-18,spotify:playlist:7ee2i27Axzde26FoXgNDZF
160,USGF19942501,1.0010133774228813,Nirvana,Smells Like Teen Spirit,Geffen Records,UMG,Rock,Rock,1991-09-24,spotify:playlist:7ee2i27Axzde26FoXgNDZF
167,USIR10001266,0.9985433240001279,Marilyn Manson,Disposable Teens,Marilyn Manson / Interscope,UMG,Rock,Rock,2004-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
168,USGF19821203,0.9977378150595793,Rob Zombie,Dragula,Rob Zombie (PS),UMG,Heavy Metal,Rock,2003-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
170,GBF089190021,0.9970607756446196,Metallica,Of Wolf and Man,Vertigo,UMG,Rock,Rock,2004-11-23,spotify:playlist:7ee2i27Axzde26FoXgNDZF
171,NLA329780512,0.9968550968782784,King Diamond,Welcome Home,"Roadrunner Records, Inc.",UMG,Rock,Rock,1997-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
175,NLA329980194,0.9961279616865056,Slipknot,Wait and Bleed,Universal Music Australia Pty. Ltd.,UMG,Pop,Pop,2015-11-20,spotify:playlist:7ee2i27Axzde26FoXgNDZF
176,USGF19960704,0.9956786752212675,Nirvana,Rape Me,Geffen,UMG,Alternative,Alternative,1993-09-21,spotify:playlist:7ee2i27Axzde26FoXgNDZF
178,GBAMC9700002,0.9950597549019713,Metallica,The Memory Remains (feat. Marianne Faithfull),Virgin EMI,UMG,Heavy Metal,Rock,1997-11-18,spotify:playlist:7ee2i27Axzde26FoXgNDZF
