,user_dma_number,user_dma_name,user_postal_code,user_count,user_%
7314,533,Hartford & New Haven,272,1,1.736161447736419e-05
7309,533,Hartford & New Haven,233,1,1.736161447736419e-05
26977,866,Fresno-Visalia,210,1,1.736161447736419e-05
6700,529,Louisville,416,1,1.736161447736419e-05
7217,533,Hartford & New Haven,050,1,1.736161447736419e-05
6698,529,Louisville,412,1,1.736161447736419e-05
26998,866,Fresno-Visalia,762,1,1.736161447736419e-05
6697,529,Louisville,411,1,1.736161447736419e-05
26580,855,Santabarbra-Sanmar-Sanluob,341,1,1.736161447736419e-05
26579,855,Santabarbra-Sanmar-Sanluob,338,1,1.736161447736419e-05
26578,855,Santabarbra-Sanmar-Sanluob,331,1,1.736161447736419e-05
4197,515,Cincinnati,381,1,1.736161447736419e-05
26576,855,Santabarbra-Sanmar-Sanluob,277,1,1.736161447736419e-05
27000,866,Fresno-Visalia,802,1,1.736161447736419e-05
7223,533,Hartford & New Haven,058,1,1.736161447736419e-05
26574,855,Santabarbra-Sanmar-Sanluob,222,1,1.736161447736419e-05
4196,515,Cincinnati,378,1,1.736161447736419e-05
4195,515,Cincinnati,370,1,1.736161447736419e-05
26571,855,Santabarbra-Sanmar-Sanluob,191,1,1.736161447736419e-05
4194,515,Cincinnati,366,1,1.736161447736419e-05
26569,855,Santabarbra-Sanmar-Sanluob,189,1,1.736161447736419e-05
4193,515,Cincinnati,358,1,1.736161447736419e-05
4192,515,Cincinnati,338,1,1.736161447736419e-05
