,user_dma_number,user_dma_name,user_postal_code,user_count,user_%
8640,539,Tampa-St. Pete (Sarasota),970,1,1.736161447736419e-05
8641,539,Tampa-St. Pete (Sarasota),971,1,1.736161447736419e-05
8645,539,Tampa-St. Pete (Sarasota),982,1,1.736161447736419e-05
25311,819,Seattle-Tacoma,538,1,1.736161447736419e-05
27797,IT-62,,794,1,1.736161447736419e-05
27798,IT-67,,100,1,1.736161447736419e-05
4388,517,Charlotte,126,1,1.736161447736419e-05
25308,819,Seattle-Tacoma,534,1,1.736161447736419e-05
25307,819,Seattle-Tacoma,532,1,1.736161447736419e-05
1144,504,Philadelphia,245,1,1.736161447736419e-05
27800,IT-72,,096,1,1.736161447736419e-05
27801,IT-72,,100,1,1.736161447736419e-05
25304,819,Seattle-Tacoma,527,1,1.736161447736419e-05
4389,517,Charlotte,131,1,1.736161447736419e-05
4009,514,Buffalo,103,1,1.736161447736419e-05
8623,539,Tampa-St. Pete (Sarasota),930,1,1.736161447736419e-05
25328,819,Seattle-Tacoma,577,1,1.736161447736419e-05
25329,819,Seattle-Tacoma,581,1,1.736161447736419e-05
27781,IT-45,,100,1,1.736161447736419e-05
25349,819,Seattle-Tacoma,616,1,1.736161447736419e-05
4376,517,Charlotte,111,1,1.736161447736419e-05
4380,517,Charlotte,115,1,1.736161447736419e-05
25348,819,Seattle-Tacoma,615,1,1.736161447736419e-05
25347,819,Seattle-Tacoma,613,1,1.736161447736419e-05
25345,819,Seattle-Tacoma,609,1,1.736161447736419e-05
1139,504,Philadelphia,236,1,1.736161447736419e-05
8602,539,Tampa-St. Pete (Sarasota),850,1,1.736161447736419e-05
27780,IT-45,,083,1,1.736161447736419e-05
8603,539,Tampa-St. Pete (Sarasota),852,1,1.736161447736419e-05
5896,524,Atlanta,948,1,1.736161447736419e-05
5890,524,Atlanta,942,1,1.736161447736419e-05
8606,539,Tampa-St. Pete (Sarasota),881,1,1.736161447736419e-05
27783,IT-45,,234,1,1.736161447736419e-05
8610,539,Tampa-St. Pete (Sarasota),906,1,1.736161447736419e-05
8617,539,Tampa-St. Pete (Sarasota),919,1,1.736161447736419e-05
27784,IT-45,,911,1,1.736161447736419e-05
25335,819,Seattle-Tacoma,596,1,1.736161447736419e-05
27789,IT-55,,096,1,1.736161447736419e-05
25332,819,Seattle-Tacoma,590,1,1.736161447736419e-05
25331,819,Seattle-Tacoma,587,1,1.736161447736419e-05
25330,819,Seattle-Tacoma,585,1,1.736161447736419e-05
25624,820,"Portland, OR",236,1,1.736161447736419e-05
25625,820,"Portland, OR",245,1,1.736161447736419e-05
6087,527,Indianapolis,309,1,1.736161447736419e-05
25892,825,San Diego,062,1,1.736161447736419e-05
6267,527,Indianapolis,953,1,1.736161447736419e-05
